sampling_method,sampling_condition,reconstruction_condition,samp_perc,psnr_db_weighted,ssim_weighted,pixel_mae_weighted,grain_weighted,runtime_sec_weighted,psnr_db_original,ssim_original,pixel_mae_original,grain_original,runtime_sec_original,_merge,psnr_db_weighted_minus_original,ssim_weighted_minus_original,pixel_mae_weighted_minus_original,grain_weighted_minus_original,runtime_sec_weighted_minus_original
cs,k1_daytime_beach,sunset_beach,0.01,15.24525605933027,0.8002325759985291,0.14935374408960342,0.004244602797552943,3787.714827632904,23.973475133965927,0.9609518417149232,0.04015366956591606,0.0023681699763983487,3372.2445793628694,both,-8.728219074635657,-0.16071926571639406,0.10920007452368735,0.0018764328211545943,415.4702482700345
cs,k1_daytime_beach,cat,0.01,14.488185610933774,0.7672915720719674,0.16566529124975204,0.003761231945827603,6736.278218555451,25.89553098265308,0.9751295184016342,0.029251810163259506,0.002652140660211444,3629.041059780121,both,-11.407345371719307,-0.2078379463296668,0.13641348108649254,0.0011090912856161592,3107.2371587753296
cs,k2_sunset_beach,unprompted,0.00125,19.995937495100122,0.9022012702629627,0.0717785432934761,0.006073565501719713,13181.935799360275,24.29287444018345,0.9650466124936017,0.038956907391548154,0.003034530393779278,5999.397003412247,both,-4.296936945083328,-0.06284534223063898,0.03282163590192795,0.003039035107940435,7182.538795948029
cs,k2_sunset_beach,unprompted,0.0025,21.76034057051654,0.9372383214904568,0.05573519915342331,0.008161123748868704,14133.530238819123,26.356918090832966,0.9784428758462284,0.029347624629735947,0.003830333054065704,8680.151081085205,both,-4.596577520316426,-0.04120455435577153,0.02638757452368736,0.004330790694803,5453.379157733918
cs,k2_sunset_beach,unprompted,0.005,22.916576742502397,0.9534250485296019,0.05009704679250717,0.00835981909185648,13074.683685779572,27.52204533009654,0.9835322026098773,0.02560100853443146,0.0039851782377809284,13508.094172239304,both,-4.605468587594142,-0.030107154080275422,0.02449603825807571,0.0043746408540755516,-433.41048645973206
cs,k2_sunset_beach,unprompted,0.01,17.83681812037554,0.8892378268750131,0.1057269424200058,0.006961539294570685,12063.289876174927,28.291078781729208,0.9862668182784866,0.022777711600065233,0.004140741657465696,13502.78040585518,both,-10.454260661353668,-0.09702899140347354,0.08294923081994057,0.0028207976371049884,-1439.4905296802517
cs,k2_sunset_beach,daytime_beach,0.00125,16.805591125808935,0.8498845882163171,0.10783241391181946,0.0033161079976707698,3178.5888035774233,20.00711688979237,0.9049000580016955,0.06745645850896835,0.0024727117037400604,5130.46370100975,both,-3.2015257639834367,-0.05501546978537841,0.040375955402851105,0.0008433962939307094,-1951.874897432327
cs,k2_sunset_beach,daytime_beach,0.0025,18.566531592036274,0.8783309197738067,0.10516352765262127,0.004901255946606398,9343.76044678688,23.17138382324082,0.9540369083982385,0.04248624444007874,0.0022753641474992036,4600.300372123718,both,-4.604852231204546,-0.07570598862443179,0.06267728321254254,0.002625891799107194,4743.460074663162
cs,k2_sunset_beach,daytime_beach,0.01,16.226714255903698,0.8481340180106545,0.12699248939752578,0.0047604977153241634,3699.824734210968,24.712089417708523,0.9680342293957495,0.03628137484192848,0.0027150488924235104,3726.112834119797,both,-8.485375161804825,-0.11990021138509499,0.0907111145555973,0.002045448822900653,-26.288099908828826
cs,k2_sunset_beach,sunset_beach,0.01,15.916055734943921,0.8384684324227798,0.13282258361577987,0.004794085212051868,3766.797028207779,24.068372218176798,0.9625552433765823,0.038997748494148256,0.0030394536443054676,2761.6237656116487,both,-8.152316483232877,-0.12408681095380247,0.09382483512163162,0.0017546315677464007,1005.1732625961304
cs,k2_sunset_beach,cat,0.01,14.125868591298348,0.7631389415745464,0.17524418830871583,0.0035130783449858426,6340.339408302307,24.28674526864314,0.9642225063767252,0.03646442182362079,0.002658662386238575,2957.3363699436186,both,-10.160876677344794,-0.20108356480217882,0.13877976648509505,0.0008544159587472676,3383.003038358688
cs,k4_cat,unprompted,0.00125,18.73696903334468,0.8678527342040943,0.08082911223173142,0.005851913150399924,14363.349122714997,21.73323831389591,0.9286226869527313,0.05567327067255974,0.0026823820546269415,8129.7775389194485,both,-2.996269280551232,-0.06076995274863706,0.02515584155917168,0.003169531095772982,6233.571583795549
cs,k4_cat,unprompted,0.0025,20.03437520723582,0.9044182455790087,0.06928926408290863,0.00774430837482214,14287.246049404144,24.22540633381136,0.9621193582364382,0.03990539088845253,0.003196778753772378,9655.19670228958,both,-4.191031126575542,-0.0577011126574295,0.029383873194456095,0.004547529621049762,4632.049347114564
cs,k4_cat,unprompted,0.005,21.410155943899074,0.9320315213224802,0.06016786620020866,0.008092037122696637,12366.65278711319,26.21309318016632,0.9776125534573283,0.030401507019996644,0.0036674004979431627,13510.342648267746,both,-4.802937236267248,-0.0455810321348481,0.029766359180212018,0.004424636624753475,-1143.6898611545566
cs,k4_cat,unprompted,0.01,17.40910151117121,0.8774050091468564,0.11496424823999404,0.006667975708842278,10017.64995970726,27.601475657967768,0.9838377086860393,0.02507321573793888,0.003880525566637516,13513.125796270371,both,-10.192374146796556,-0.10643269953918288,0.08989103250205516,0.0027874501422047618,-3495.4758365631114
cs,k4_cat,daytime_beach,0.00125,17.282536803519008,0.8357622785013777,0.0924775019288063,0.0035789049230515956,3429.839462995529,20.279049936151065,0.9072935701827207,0.06283917725086212,0.0017970119835808874,4915.213343048095,both,-2.9965131326320567,-0.07153129168134298,0.02963832467794418,0.0017818929394707082,-1485.3738800525662
cs,k4_cat,daytime_beach,0.0025,17.954994228715563,0.8705499065786084,0.09212476387619972,0.0035594775108620524,4554.327808439732,22.062486317253967,0.9354260799448637,0.053443125635385516,0.001914290338754654,5393.030652952194,both,-4.107492088538404,-0.06487617336625529,0.038681638240814206,0.0016451871721073984,-838.7028445124624
inverse_square,inverse_square,unprompted,0.00125,19.311182058055437,0.8841904404641492,0.07222823798656464,0.0056314820423722265,12993.668493080138,,,,,,left_only,,,,,
inverse_square,inverse_square,unprompted,0.0025,20.20895800204449,0.9056708159744206,0.06713916826993227,0.007281071855686605,7924.725288569927,,,,,,left_only,,,,,
inverse_square,inverse_square,daytime_beach,0.00125,18.521246659221347,0.8731325710980904,0.08059657961130143,0.0028478376101702453,5555.022554636002,,,,,,left_only,,,,,
inverse_square,inverse_square,daytime_beach,0.0025,19.14136063777001,0.8926797642213516,0.08000268340110779,0.0032264246605336667,4680.888711738587,,,,,,left_only,,,,,
inverse_square,inverse_square,daytime_beach,0.005,18.274828741803084,0.8785677869685322,0.09700058326125145,0.004087634105235338,3788.382991218567,,,,,,left_only,,,,,
mcs,mcs,unprompted,0.00125,12.337718343883292,0.3281483120268109,0.1799291968345642,0.0034508492331951856,2956.179414844513,,,,,,left_only,,,,,
mcs,mcs,unprompted,0.0025,11.542402078998565,0.2692277974206135,0.20910532474517823,0.003337116399779916,5942.917297697068,,,,,,left_only,,,,,
mcs,mcs,unprompted,0.005,12.381342760100974,0.31439353701411776,0.1850343495607376,0.003483480401337147,4932.511471891403,,,,,,left_only,,,,,
mcs,mcs,daytime_beach,0.00125,14.129564847567707,0.5342441685330519,0.14339079707860947,0.0026493024197407067,2842.757070541382,,,,,,left_only,,,,,
mcs,mcs,sunset_beach,0.00125,13.443316031793392,0.4564621939611596,0.15708169490098953,0.0029075313359498978,2959.277637577057,,,,,,left_only,,,,,
mcs,mcs,sunset_beach,0.0025,12.967252474307704,0.4271265033804659,0.17093806564807892,0.003474871930666268,3475.975868368149,,,,,,left_only,,,,,
mcs,mcs,sunset_beach,0.005,12.948212316982758,0.3871972608970535,0.16523954570293425,0.0027854932006448506,3689.8619266033174,,,,,,left_only,,,,,
mcs,mcs,sunset_beach,0.01,13.572292525769617,0.5022864729734251,0.15816886126995086,0.0032448393758386374,5827.453942918777,,,,,,left_only,,,,,
mcs,mcs,cat,0.00125,12.305972808042807,0.32673095188106016,0.17204734683036804,0.0030333600006997585,1876.212492465973,,,,,,left_only,,,,,
mcs,mcs,cat,0.01,11.578681828462765,0.3031048884933646,0.208050137758255,0.0030671422369778155,3306.979807806015,,,,,,left_only,,,,,
cs,k0,unprompted,0.0025,,,,,,25.323077375404097,0.9724231842027141,0.03458761051297188,0.003554557729512453,9648.586568975448,right_only,,,,,
cs,k0,unprompted,0.005,,,,,,26.886058612471214,0.9809210979421806,0.028247571364045144,0.003917501587420702,12338.755713367462,right_only,,,,,
cs,k0,daytime_beach,0.00125,,,,,,20.01478162878191,0.8995556765123764,0.06746049821376801,0.0018543915823101998,4081.925148439407,right_only,,,,,
cs,k0,daytime_beach,0.0025,,,,,,21.798445770268156,0.9345877469187162,0.053018194437026975,0.0022665337892249227,3670.9632505893705,right_only,,,,,
cs,k0,daytime_beach,0.005,,,,,,25.046904757086708,0.9705560697130391,0.03506702147424221,0.0021255151368677616,6329.466823863983,right_only,,,,,
cs,k0,sunset_beach,0.00125,,,,,,21.32514797026704,0.9295136324025315,0.05552133843302727,0.0017213060287758707,4163.141389560699,right_only,,,,,
cs,k0,sunset_beach,0.0025,,,,,,22.483674306142102,0.9481347717026131,0.048452720046043396,0.001995056588202715,4442.605241346359,right_only,,,,,
cs,k0,sunset_beach,0.005,,,,,,23.949582779092673,0.9600996213323935,0.040433560684323314,0.0021743868011981247,4761.258188247681,right_only,,,,,
cs,k0,cat,0.00125,,,,,,21.76496318823167,0.9318772299616217,0.05521273612976074,0.0018577710026875139,3963.755054950714,right_only,,,,,
cs,k0,cat,0.0025,,,,,,21.14638090156844,0.926917959971963,0.05510351955890656,0.002232686267234385,2313.6756158828734,right_only,,,,,
cs,k0,cat,0.005,,,,,,23.89098214562456,0.9609832621686575,0.039244700223207474,0.0022350899875164033,3223.1643891811373,right_only,,,,,
cs,k1_daytime_beach,daytime_beach,0.005,,,,,,24.882411086575217,0.9700200768956388,0.03543593809008598,0.00216586422175169,6023.321811437607,right_only,,,,,
cs,k1_daytime_beach,sunset_beach,0.00125,,,,,,18.574964494974644,0.8571613221938105,0.08188760578632355,0.0020861483411863447,4345.365681838989,right_only,,,,,
cs,k1_daytime_beach,sunset_beach,0.0025,,,,,,22.79389409156885,0.9505969902869845,0.04529910534620285,0.002010222268290818,4540.246502637863,right_only,,,,,
cs,k1_daytime_beach,sunset_beach,0.005,,,,,,23.89464161135026,0.9610041419270174,0.04000971093773842,0.00221362232696265,4648.702027130127,right_only,,,,,
cs,k1_daytime_beach,cat,0.00125,,,,,,20.259982259589417,0.9113941277873531,0.06300941035151482,0.0016093204030767083,4239.4383975028995,right_only,,,,,
cs,k1_daytime_beach,cat,0.0025,,,,,,22.567186948781853,0.9472931561207346,0.045659616589546204,0.0020428308518603442,3708.638075017929,right_only,,,,,
cs,k1_daytime_beach,cat,0.005,,,,,,23.67240790913548,0.9566895197436379,0.040931467711925504,0.0023023882415145634,3778.052644300461,right_only,,,,,
cs,k2_sunset_beach,daytime_beach,0.005,,,,,,25.41758551819605,0.9728402268042686,0.03319761641323567,0.0023877825122326614,6314.418044710159,right_only,,,,,
cs,k2_sunset_beach,sunset_beach,0.00125,,,,,,20.299063321960933,0.9044073367752026,0.06639321073889733,0.0022746725240722298,4765.265303230286,right_only,,,,,
cs,k2_sunset_beach,sunset_beach,0.0025,,,,,,23.033965156869897,0.9518114074878212,0.04493651613593101,0.003399398014880717,4058.2507420539855,right_only,,,,,
cs,k2_sunset_beach,sunset_beach,0.005,,,,,,23.81651362763111,0.9578390895105844,0.04150430560111999,0.002689362969249487,4310.173776531219,right_only,,,,,
cs,k2_sunset_beach,cat,0.00125,,,,,,20.486992039685227,0.8887537455006769,0.07209690883755684,0.002291289437562227,5259.464082956314,right_only,,,,,
cs,k2_sunset_beach,cat,0.0025,,,,,,22.703205065167108,0.9491950661480448,0.04261440858244896,0.0024150922428816555,3053.53789768219,right_only,,,,,
cs,k2_sunset_beach,cat,0.005,,,,,,23.271046853002968,0.9542842173200746,0.042303255200386046,0.002234512707218528,2840.6922883987427,right_only,,,,,
cs,k4_cat,daytime_beach,0.005,,,,,,23.739936221151495,0.9583575633632997,0.041269955411553386,0.002193840336985886,5668.145619726181,right_only,,,,,
cs,k4_cat,daytime_beach,0.01,,,,,,24.590735963429914,0.96782545284333,0.03512171804904938,0.002369339857250452,4743.405394840241,right_only,,,,,
cs,k4_cat,sunset_beach,0.00125,,,,,,20.30000632456854,0.9089948671507255,0.06115378811955452,0.0018845712067559362,3522.5803973197935,right_only,,,,,
cs,k4_cat,sunset_beach,0.0025,,,,,,20.595835320378495,0.9187521543847739,0.06197682693600655,0.0023957634111866355,3510.1412320137024,right_only,,,,,
cs,k4_cat,sunset_beach,0.005,,,,,,23.442533327476156,0.9574240307603954,0.04287081509828568,0.0021769889164716004,3997.2064572811128,right_only,,,,,
cs,k4_cat,sunset_beach,0.01,,,,,,23.156052233011238,0.9531517077744619,0.04351464807987213,0.0027660122606903313,3554.020802974701,right_only,,,,,
cs,k4_cat,cat,0.00125,,,,,,20.818218977758512,0.9163244532626663,0.05833558514714241,0.0015900888713076711,1150.2060581207274,right_only,,,,,
cs,k4_cat,cat,0.0025,,,,,,22.527498879441133,0.9476843726826815,0.0450557105243206,0.0020687386160716413,3693.6432097435,right_only,,,,,
cs,k4_cat,cat,0.005,,,,,,23.5727469791661,0.958264541933542,0.039654815942049025,0.0021115886513143776,2794.4739405632017,right_only,,,,,
cs,k4_cat,cat,0.01,,,,,,24.061287517943168,0.9628413600925321,0.03638707883656025,0.002672266075387597,1598.5850096225738,right_only,,,,,
