sampling_method,sampling_condition,reconstruction_condition,samp_perc,psnr_db_weighted,ssim_weighted,pixel_mae_weighted,grain_weighted,runtime_sec_weighted,psnr_db_original,ssim_original,pixel_mae_original,grain_original,runtime_sec_original,_merge,psnr_db_weighted_minus_original,ssim_weighted_minus_original,pixel_mae_weighted_minus_original,grain_weighted_minus_original,runtime_sec_weighted_minus_original
cs,k2_sunset_beach,unprompted,0.00125,16.887355706982426,0.882059386710274,0.09786512143909931,0.008709959569387138,12196.644562482834,19.655825848533986,0.9381444997613396,0.06543315798044205,0.002934667561203241,8122.024288034439,both,-2.7684701415515605,-0.05608511305106567,0.03243196345865726,0.005775292008183897,4074.6202744483944
cs,k2_sunset_beach,unprompted,0.0025,,,,,,21.121413735254777,0.9561294223709865,0.053839247673749924,0.0035920234862715007,9189.598324012757,right_only,,,,,
cs,k2_sunset_beach,unprompted,0.005,,,,,,22.522217214260415,0.9684521998678376,0.043956977874040605,0.004053848097100854,11704.55937256813,right_only,,,,,
cs,k2_sunset_beach,unprompted,0.01,17.796494125233295,0.913541280006986,0.0938033014535904,0.01465002615004778,13359.98260178566,23.615540035836155,0.9755881037896279,0.03660133257508278,0.004264690820127726,13414.98356757164,both,-5.81904591060286,-0.062046823782641924,0.05720196887850761,0.010385335329920054,-55.00096578598095
cs,k4_cat,cat,0.00125,,,,,,18.44418283630247,0.9183384389449408,0.07664238214492798,0.0012572478270158171,811.1884122371673,right_only,,,,,
cs,k4_cat,cat,0.0025,,,,,,18.91182017252139,0.9265943940858345,0.07063406258821488,0.0014069949509575963,4483.478510570526,right_only,,,,,
cs,k4_cat,cat,0.005,,,,,,18.75783141298241,0.9251517459718442,0.06711077094078063,0.0013145130127668382,4030.29368596077,right_only,,,,,
cs,k4_cat,cat,0.01,14.960164191521173,0.8585765113385309,0.13442110270261765,0.004701467929407954,6594.504596233368,18.34451277058868,0.9162603838534652,0.0735293947160244,0.0015644977102056146,2211.695890569687,both,-3.384348579067506,-0.05768387251493434,0.06089170798659324,0.0031369702192023396,4382.808705663681
cs,k4_cat,daytime_beach,0.00125,17.908291584355055,0.9067199205123453,0.08644304797053337,0.004192932916339487,10305.969580829144,18.638734222679297,0.9222539253646902,0.07444549202919007,0.0011881631799042225,4252.160394477844,both,-0.7304426383242415,-0.015534004852344907,0.011997555941343302,0.0030047697364352643,6053.809186351299
cs,k4_cat,daytime_beach,0.0025,,,,,,19.107009721770837,0.9293727109903284,0.07013698145747185,0.001281194796320051,3613.0835670948027,right_only,,,,,
cs,k4_cat,daytime_beach,0.005,,,,,,19.743815890019242,0.9399915200693055,0.06318936645984649,0.0012604564428329468,3758.403287935257,right_only,,,,,
cs,k4_cat,daytime_beach,0.01,17.02886256087856,0.9090429685488196,0.10562289208173752,0.0040849083568900825,5039.708528709411,20.570138419910315,0.9501921346395596,0.055873052775859834,0.0016785121522843837,4472.2698798656465,both,-3.541275859031753,-0.04114916609074004,0.04974983930587768,0.0024063962046056986,567.4386488437649
cs,k4_cat,sunset_beach,0.00125,,,,,,17.41500020222515,0.8799684372550548,0.09616574496030808,0.0011978611815720796,5410.814283800125,right_only,,,,,
cs,k4_cat,sunset_beach,0.0025,,,,,,18.623074287488617,0.9118175286522415,0.07784376367926597,0.0013200979446992278,6219.936343860626,right_only,,,,,
