distribution_key,line_condition,samp_perc,psnr_db_weighted,ssim_weighted,pixel_mae_weighted,psnr_db_original,ssim_original,pixel_mae_original,_merge,psnr_db_weighted_minus_original,ssim_weighted_minus_original,pixel_mae_weighted_minus_original
k1_daytime_beach,cfg1,0.0025,,,,25.791106495781364,0.9753486429845946,0.031782859936356544,right_only,,,
k1_daytime_beach,cfg1,0.005,,,,26.696816281383196,0.9799766657110953,0.02832549810409546,right_only,,,
k1_daytime_beach,cfg1,0.01,,,,28.35794815175364,0.9864885764415654,0.02307037264108658,right_only,,,
k1_daytime_beach,cfg3,0.00125,,,,22.01607642773172,0.9316040669364064,0.0500146709382534,right_only,,,
k1_daytime_beach,cfg3,0.0025,,,,24.724531758187005,0.9676395854980093,0.034482844173908234,right_only,,,
k1_daytime_beach,cfg3,0.005,,,,26.1107453855703,0.9766650045291743,0.02996177412569523,right_only,,,
k1_daytime_beach,cfg3,0.01,,,,28.2896166778484,0.986258850230854,0.0231457706540823,right_only,,,
k1_daytime_beach,cfg5,0.00125,,,,21.023605382292274,0.9270743381143445,0.05620620585978031,right_only,,,
k1_daytime_beach,cfg5,0.0025,,,,23.577102798379453,0.9588628935068582,0.037182264029979706,right_only,,,
k1_daytime_beach,cfg5,0.005,,,,25.797457412989477,0.9752542147708965,0.031221802346408367,right_only,,,
k1_daytime_beach,cfg5,0.01,,,,26.474185414190792,0.9788706966006016,0.02893833164125681,right_only,,,
k1_daytime_beach,cfg7p5,0.00125,,,,19.692289485062126,0.8902346710923255,0.07052487209439277,right_only,,,
k1_daytime_beach,cfg7p5,0.0025,,,,21.603517834519113,0.9330576876724483,0.05301177427172661,right_only,,,
k1_daytime_beach,cfg7p5,0.005,,,,22.816313754327588,0.9487534513550292,0.04725258201360703,right_only,,,
k1_daytime_beach,cfg7p5,0.01,,,,23.870968555207263,0.9611289996491947,0.03993817307054996,right_only,,,
k1_daytime_beach,unconditioned,0.00125,18.69033695727317,0.8715075124482333,0.08243653178215027,21.625270901210214,0.929389062167026,0.05547285079956055,both,-2.934933943937043,-0.05788154971879267,0.02696368098258972
k1_daytime_beach,unconditioned,0.0025,,,,25.495373441167583,0.9735618892131702,0.032892639935016635,right_only,,,
k1_daytime_beach,unconditioned,0.005,,,,26.8951544312906,0.9808929743505741,0.028138744458556176,right_only,,,
k1_daytime_beach,unconditioned,0.01,18.70119214220208,0.900954212313532,0.09336315095424652,28.496511001578398,0.9868942807481214,0.02305569648742676,both,-9.79531885937632,-0.08594006843458935,0.07030745446681977
k2_sunset_beach,cfg1,0.00125,,,,24.34904575181831,0.9655374099835782,0.03798196464776993,right_only,,,
k2_sunset_beach,cfg1,0.0025,,,,26.092218550418856,0.9771797786063408,0.030776238068938255,right_only,,,
k2_sunset_beach,cfg1,0.005,,,,27.61305606719663,0.9838876382559574,0.02546611148864031,right_only,,,
k2_sunset_beach,cfg1,0.01,,,,28.74306787427614,0.9876442202322515,0.022015800699591637,right_only,,,
k2_sunset_beach,cfg3,0.00125,,,,24.34676977469189,0.965647337902954,0.03682849928736687,right_only,,,
k2_sunset_beach,cfg3,0.0025,,,,25.439320806713837,0.9729240884723944,0.03161866497248411,right_only,,,
k2_sunset_beach,cfg3,0.005,,,,27.47034712163812,0.9833424898652501,0.02528565376996994,right_only,,,
k2_sunset_beach,cfg3,0.01,,,,28.051878167550445,0.9854602625401214,0.023390812799334526,right_only,,,
k2_sunset_beach,cfg5,0.00125,,,,24.06475181177087,0.963189444775283,0.0380281787365675,right_only,,,
k2_sunset_beach,cfg5,0.0025,,,,23.228449671620922,0.9535424070061103,0.0422583743929863,right_only,,,
k2_sunset_beach,cfg5,0.005,,,,26.03537907693017,0.976577722731784,0.030375602655112743,right_only,,,
k2_sunset_beach,cfg5,0.01,,,,27.204999829889033,0.9822899507698144,0.026327449828386307,right_only,,,
k2_sunset_beach,cfg7p5,0.00125,,,,20.495548321089764,0.9195430373964625,0.06197347640991211,right_only,,,
k2_sunset_beach,cfg7p5,0.0025,,,,22.500150709337106,0.9441747351645435,0.04751150384545326,right_only,,,
